Date,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Miami-Dade,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,Santa Rosa,Sarasota,Seminole,St. Johns,St. Lucie,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington,Total
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
3/7/20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
3/8/20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.0
3/9/20,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.0
3/10/20,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,15.0
3/11/20,1,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,24.0
3/12/20,1,0,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,30.0
3/13/20,2,0,0,0,0,11,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,1,1,0,0,0,2,1,2,0,0,1,2,1,1,0,0,0,0,0,3,0,0,0,45.0
3/14/20,1,0,0,0,0,20,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,1,1,0,1,1,5,1,2,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,64.0
3/15/20,1,0,0,0,0,36,0,1,1,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,0,0,13,0,1,1,0,2,1,5,2,2,0,0,1,1,1,1,0,0,0,0,0,5,0,0,0,100.0
3/16/20,1,0,0,0,0,36,0,1,1,3,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,0,0,13,0,1,1,0,2,1,5,2,2,0,0,1,1,1,1,0,0,0,0,0,5,0,0,0,101.0
3/17/20,4,0,0,0,1,48,0,1,2,4,6,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,5,0,0,0,0,7,0,0,40,0,1,2,0,6,6,13,2,4,1,0,1,2,4,2,0,0,0,0,0,9,0,0,0,190.0
3/18/20,7,0,0,0,2,72,0,1,3,4,13,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,10,0,0,0,0,8,0,0,76,0,1,3,0,9,8,19,3,10,1,0,0,5,7,4,0,1,0,0,0,9,0,0,0,306.0
3/19/20,11,0,0,0,3,96,0,1,3,4,18,0,0,0,15,1,0,0,1,0,0,0,0,0,0,4,0,20,0,1,1,0,0,3,11,4,0,0,0,9,0,1,101,0,1,5,0,19,13,29,5,16,4,0,2,6,8,4,0,2,0,0,0,9,0,1,0,432.0
3/20/20,15,0,0,0,4,128,0,2,3,4,25,0,0,0,17,1,0,0,1,0,0,0,0,0,0,4,0,32,0,3,1,0,0,3,14,4,0,0,0,10,0,1,124,1,1,7,0,23,13,42,7,22,9,0,3,8,10,7,0,2,0,0,0,10,0,3,0,564.0
3/21/20,25,1,1,0,5,164,0,2,8,6,28,0,0,0,25,1,0,0,1,0,0,0,0,0,0,6,0,47,0,5,1,0,0,4,17,4,0,0,0,13,2,1,169,1,1,12,0,29,21,56,8,29,10,1,3,14,12,9,1,4,0,0,0,11,0,4,0,762.0
3/22/20,35,2,1,1,7,217,0,2,8,7,33,2,1,0,39,4,1,0,1,0,0,0,0,0,0,5,1,58,0,8,1,0,0,6,26,5,0,0,0,13,3,2,227,1,1,14,0,33,24,72,11,38,11,2,4,15,19,16,3,5,0,0,0,14,0,4,0,1003.0
3/23/20,36,3,1,1,7,263,0,3,9,8,39,2,1,0,50,9,3,0,1,0,0,0,0,0,0,5,2,75,0,10,1,0,0,9,30,6,0,0,0,15,4,4,278,2,1,14,0,48,25,89,14,41,13,2,4,21,22,18,5,8,0,0,0,16,0,9,0,1227.0
3/24/20,37,4,1,1,9,311,0,3,9,10,41,3,1,0,50,10,4,0,1,0,0,0,0,0,0,5,4,91,0,11,1,0,0,14,32,8,0,0,0,16,4,4,338,3,1,14,0,50,26,101,15,45,13,2,4,26,23,22,6,10,0,0,0,18,0,10,0,1412.0
3/25/20,45,5,1,1,11,355,0,3,9,13,47,3,1,0,56,14,5,0,1,0,0,0,0,0,0,8,4,106,0,12,1,0,0,18,42,8,0,0,0,22,5,4,400,8,1,16,0,77,35,118,17,50,14,4,7,27,29,26,8,13,0,0,0,20,0,12,0,1682.0
3/26/20,49,5,3,1,13,504,0,3,11,19,65,3,5,0,74,19,7,0,1,0,0,0,0,0,0,9,5,142,0,13,1,0,0,25,56,9,0,0,0,26,5,8,616,12,5,21,0,110,42,169,19,64,17,12,9,34,37,33,10,24,0,0,0,29,0,13,0,2357.0
3/27/20,57,7,3,1,16,614,0,5,11,22,81,3,6,0,90,22,11,0,1,0,0,0,0,0,0,10,5,167,0,14,1,0,0,29,76,14,0,0,0,28,8,16,763,16,6,23,0,156,53,194,23,77,26,12,11,40,49,36,14,29,1,0,0,39,0,13,1,2900.0
3/28/20,67,7,5,1,26,814,0,12,14,24,92,3,7,0,115,28,13,0,1,0,0,0,0,0,0,13,10,195,0,16,1,0,0,35,101,16,1,0,0,30,17,25,1003,20,6,27,0,206,66,292,28,94,34,12,14,48,61,48,21,33,1,0,0,44,0,15,1,3763.0
3/29/20,71,7,6,1,28,838,0,16,15,30,95,3,7,0,125,30,13,0,1,0,0,0,0,0,1,14,10,218,0,17,1,0,0,38,124,18,2,0,0,33,20,26,1192,22,7,31,0,246,83,333,34,113,39,12,20,50,76,50,23,43,1,0,0,47,0,15,1,4246.0
3/30/20,79,8,6,2,31,1152,0,18,17,35,119,3,7,0,158,42,13,0,1,0,3,0,0,0,3,21,13,253,0,24,2,0,0,47,164,21,2,0,0,39,23,27,1632,24,8,35,0,293,94,423,38,126,55,13,30,61,87,60,29,46,3,0,0,65,1,15,1,5472.0
3/31/20,87,9,8,2,37,1219,1,24,19,41,146,3,7,0,207,94,18,0,1,0,3,0,0,0,4,24,17,305,1,33,2,0,0,66,206,26,2,0,0,53,25,28,2123,27,10,39,0,373,110,551,40,167,73,13,44,76,103,79,38,51,3,0,1,80,1,18,1,6739.0
4/1/20,90,9,10,3,38,1232,1,24,19,46,150,3,7,0,218,94,20,0,1,0,3,1,0,0,4,24,17,309,1,33,2,0,0,67,212,28,2,0,0,58,28,29,2202,27,11,39,0,392,115,567,43,170,76,13,44,82,109,83,40,52,4,0,1,80,1,18,1,6953.0
4/2/20,95,11,15,5,49,1481,1,38,27,58,178,4,8,0,286,101,25,0,2,0,3,1,0,1,4,34,24,404,1,41,4,0,0,82,275,35,2,0,2,89,33,34,2886,38,16,51,1,541,170,737,66,273,103,14,47,110,145,102,48,66,7,0,1,102,2,19,1,8999.0
4/3/20,110,11,18,5,62,1598,2,43,28,69,203,4,9,0,323,113,28,1,3,0,3,1,0,1,5,38,26,463,1,47,4,0,0,88,304,39,2,0,4,104,38,42,3364,40,19,54,2,602,201,858,77,318,126,15,48,124,163,119,60,68,11,0,1,125,3,19,1,10258.0
4/4/20,116,11,23,6,72,1765,3,46,34,74,221,10,11,1,387,118,29,1,4,0,4,1,0,1,6,40,30,497,1,50,4,1,0,95,348,42,2,0,6,129,42,53,3890,42,21,59,3,657,216,954,90,342,142,18,50,129,178,132,76,73,17,0,2,134,5,21,1,11536.0
4/5/20,123,12,24,7,79,1886,3,47,43,79,231,13,12,1,413,125,31,2,4,0,4,1,0,2,7,43,35,536,1,55,4,1,0,101,379,42,4,0,10,136,50,60,4146,44,21,62,3,713,229,1000,102,359,157,19,55,140,191,141,82,75,18,0,2,151,6,23,1,12346.0
4/6/20,131,13,24,8,88,2067,3,55,45,81,246,13,14,1,475,136,32,2,5,0,4,1,1,2,9,48,35,571,1,61,4,3,0,104,397,59,4,0,11,144,53,83,4481,45,25,65,3,744,239,1069,110,362,176,19,58,151,194,146,100,80,32,0,2,151,6,24,1,13317.0
4/7/20,139,15,25,11,98,2230,3,67,51,88,271,16,16,1,521,168,35,2,6,1,4,1,1,2,9,51,37,608,2,62,4,4,0,116,434,68,5,0,11,162,63,98,4997,49,26,69,4,763,254,1136,120,380,197,19,65,172,202,151,118,84,32,1,2,162,6,26,2,14543.0
4/8/20,144,15,28,15,102,2358,4,76,54,97,277,17,18,2,549,180,35,2,8,1,4,1,1,2,10,56,41,626,3,63,4,8,0,136,462,71,5,0,12,171,65,101,5354,51,29,78,4,803,272,1206,125,394,206,21,69,180,216,154,130,90,46,1,2,163,7,26,2,15453.0
4/9/20,150,16,30,20,106,2454,4,79,57,103,292,17,19,1,589,184,37,2,10,3,4,1,1,3,11,58,45,644,2,68,5,8,1,139,496,74,6,0,12,175,72,109,5745,52,30,80,5,857,295,1260,128,413,212,25,71,190,228,162,132,98,54,1,2,179,7,26,3,16362.0
4/10/20,167,16,36,22,115,2645,5,85,60,114,318,23,20,1,609,197,44,2,14,4,4,1,2,3,14,62,47,671,2,68,5,9,1,147,547,82,6,0,14,198,82,111,6119,55,33,83,5,895,300,1388,141,428,237,28,103,208,235,163,144,106,58,1,2,187,7,27,3,17529.0
4/11/20,174,17,36,24,120,2806,5,107,66,158,344,24,20,2,635,206,44,2,14,4,4,1,2,3,16,65,51,690,2,70,5,9,1,149,584,112,6,1,14,203,83,115,6487,58,33,91,5,914,317,1441,148,444,242,29,105,219,242,167,148,107,66,1,2,195,7,27,3,18492.0
4/12/20,215,17,37,29,133,2945,5,113,71,163,361,26,20,2,668,224,45,2,17,4,4,1,2,3,20,71,56,759,2,74,6,12,1,150,617,120,8,1,14,236,93,122,7058,59,34,101,5,949,323,1646,160,455,254,43,109,226,255,173,152,110,67,1,2,201,8,29,4,19893.0
4/13/20,187,17,38,30,148,3177,5,119,72,165,376,27,22,2,691,241,45,2,36,4,5,1,2,3,22,71,61,813,2,77,6,12,1,162,642,150,7,2,14,252,101,129,7459,64,34,103,5,1024,333,1704,169,479,270,42,113,230,268,176,161,112,68,1,2,216,12,29,4,21017.0
4/14/20,195,17,38,31,163,3261,5,123,75,168,380,28,22,2,718,247,45,2,38,6,5,1,2,3,23,71,62,819,4,77,6,13,1,169,657,150,7,2,14,261,104,135,7712,64,35,104,5,1038,349,1740,177,494,279,43,114,241,275,177,165,113,75,1,2,226,12,29,5,21625.0
4/15/20,194,17,39,35,173,3363,5,124,74,170,395,34,22,3,745,260,46,2,40,6,5,1,2,3,26,76,64,869,4,78,6,22,1,179,677,154,7,2,15,276,107,138,8066,66,37,107,5,1073,361,1814,186,513,286,46,115,252,283,179,172,114,80,1,2,242,13,29,5,22506.0
4/16/20,200,17,42,39,192,3466,5,127,80,184,416,35,22,3,776,277,50,2,44,4,5,1,2,4,27,76,66,878,4,83,8,23,1,186,687,165,9,2,16,309,112,142,8326,66,40,117,5,1114,384,1867,190,530,304,49,118,260,306,182,186,117,83,1,2,255,14,29,5,23337.0
4/17/20,202,17,44,40,205,3688,6,131,82,216,445,35,23,3,817,290,55,2,47,4,5,1,3,4,31,83,66,924,5,85,8,23,1,197,721,174,9,2,19,326,116,147,8824,68,42,124,5,1158,392,2088,193,565,316,52,130,274,313,186,192,120,87,1,2,270,14,31,6,24755.0
4/18/20,205,17,48,42,210,3838,6,138,82,223,457,36,23,3,835,304,66,2,48,4,5,1,3,4,39,84,66,943,5,83,8,24,1,203,739,169,11,2,20,362,118,148,9045,73,42,127,6,1180,403,2138,198,587,320,55,133,279,315,188,196,144,90,1,2,291,14,32,5,25489.0
4/19/20,210,17,55,42,215,3971,6,138,84,247,463,39,24,3,854,309,75,2,51,4,5,1,3,4,41,84,70,960,6,84,8,26,1,207,769,176,12,2,21,417,121,151,9354,73,44,131,7,1198,409,2170,205,592,326,56,138,284,320,190,202,147,98,1,3,333,14,32,6,26311.0
4/20/20,218,17,57,42,218,4078,6,139,86,249,470,40,24,4,896,315,76,2,57,4,5,1,3,4,44,84,71,973,6,85,9,26,1,211,785,184,13,2,23,433,129,155,9657,73,46,131,7,1216,410,2260,209,607,335,58,140,291,325,192,204,153,98,2,2,342,15,32,6,27056.0
4/21/20,224,17,58,42,224,4168,6,143,92,256,477,43,24,4,909,340,78,2,57,4,5,1,4,4,46,84,71,979,8,85,11,26,1,213,795,186,12,2,26,443,130,160,10056,73,46,134,8,1235,417,2320,213,632,356,59,139,297,328,194,206,163,102,2,3,366,15,32,9,27865.0
